step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
23,1,arb,normalizer,buy,0.24252275509429178,24.293471199429405,99.92738125027716,0.0,100.07755686401524,100.0065607386507,18.005923250318606,14.968998539349219,True
24,0,arb,submission,buy,0.06996424099717577,6.984363179775755,99.75791687241569,-0.004876242337837233,99.93786422371699,99.86664951432579,19.173432346331534,13.181986472529251,True
24,1,arb,normalizer,buy,0.08506029786918101,8.49264241092169,99.75791687241569,0.0,99.93786422371699,99.86664951432579,19.173432346331534,13.181986472529251,True
25,0,retail,submission,sell,0.006455542344241394,0.6460463696183018,100.03476597428987,0.00026770197499526027,99.96726450694122,99.86876409337162,19.954486118536924,13.966315866867234,False
25,1,retail,submission,sell,0.008255065330388334,0.8263339913044643,100.03476597428987,0.0005404628765934838,99.96726450694122,99.86876409337162,19.954486118536924,13.966315866867234,False
26,0,arb,submission,sell,0.009782061950346588,0.979349415849931,100.12666195291955,-9.579425493866367e-05,99.9868218941666,99.87038070133083,20.745898097009135,14.759881023777677,False
26,1,retail,submission,sell,0.05198235503929993,5.207940369097163,100.12666195291955,0.003120678560534884,100.81749587293818,99.87162519779343,17.943442633854893,14.377535390360975,False
26,2,retail,submission,sell,0.3360843881409181,33.80105697543778,100.12666195291955,0.1500490563982666,100.81749587293818,99.87162519779343,17.943442633854893,14.377535390360975,False
26,3,retail,normalizer,sell,0.274426177188829,27.616993267783236,100.12666195291955,0.0,100.81749587293818,99.87162519779343,17.943442633854893,14.377535390360975,False
26,4,retail,submission,sell,0.02478172602354789,2.502158169876513,100.12666195291955,0.020846665706864442,100.81749587293818,99.87162519779343,17.943442633854893,14.377535390360975,False
26,5,retail,normalizer,sell,0.039774546384137466,4.015348049024878,100.12666195291955,0.0,100.81749587293818,99.87162519779343,17.943442633854893,14.377535390360975,False
27,0,arb,submission,buy,0.32028377571908323,32.12912973267339,99.99357893239292,-0.10280872454241319,100.17332436230667,100.01154339295366,14.943442633854893,17.377535390360975,True
27,1,arb,normalizer,buy,0.19691760045185203,19.729286496632994,99.99357893239292,0.0,100.17332436230667,100.01154339295366,14.943442633854893,17.377535390360975,True
28,0,retail,submission,sell,0.006990731920723192,0.7015529832773514,100.0667984022594,0.0020128214821041324,100.18734366315287,100.01585718004628,17.943442633854893,14.377535390360975,False
29,0,retail,submission,sell,0.04782151253036204,4.800306392736593,100.06716708468291,0.014943108118597337,100.28332449396672,100.15597744139498,19.868472763245585,11.377535390360975,True
30,0,arb,submission,buy,0.06158851207279271,6.160237554246123,99.9609806902627,-0.003789488195679702,100.15998328023976,100.03603296480593,18.853163788249763,12.868023262609983,True
