step,event_index,event_type,amm,trade_side,amount_x,amount_y,fair_price,edge,submission_spot,internal_price_estimate,bid_fee_bps,ask_fee_bps,probable_arb
19,0,arb,submission,sell,0.21843741708994457,21.820873326053057,100.11344546636744,-0.04764911759526669,99.93357024806339,100.03170614528155,18.005889176300297,14.967138925854297,True
19,1,arb,normalizer,sell,0.10301823490334527,10.302906492655612,100.11344546636744,0.0,99.93357024806339,100.03170614528155,18.005889176300297,14.967138925854297,True
19,2,retail,submission,sell,0.021107409712584513,2.1129464603995305,100.11344546636744,-0.00018905079757347565,99.9757563613624,100.03099802961286,15.005889176300297,17.967138925854297,False
19,3,retail,normalizer,sell,0.006083385358110149,0.6090656854741772,100.11344546636744,0.0,99.9757563613624,100.03099802961286,15.005889176300297,17.967138925854297,False
21,0,retail,submission,buy,0.045449753231295256,4.534997166983885,99.98132429804349,0.00912935010029603,99.88508797937173,99.89105261701796,18.005889176300297,14.967138925854297,True
22,0,retail,submission,sell,0.4881763438082345,49.07405877782478,99.88417390966177,0.31296795430025526,100.86693798034301,99.8913181091543,15.005889176300297,17.967138925854297,False
22,1,retail,normalizer,sell,0.4431284913364806,44.565824283386156,99.88417390966177,0.0,100.86693798034301,99.8913181091543,15.005889176300297,17.967138925854297,False
23,0,arb,submission,buy,0.3925040358231616,39.37628183569723,99.92738125027716,-0.1543814057237114,100.07755652249831,100.0065561853454,18.005889176300297,14.967138925854297,True
23,1,arb,normalizer,buy,0.2425227779807094,24.29347349752061,99.92738125027716,0.0,100.07755652249831,100.0065561853454,18.005889176300297,14.967138925854297,True
24,0,arb,submission,buy,0.06996424092910192,6.984363172985468,99.75791687241569,-0.0048762423384554054,99.93786388257428,99.86664496739066,19.06245234534595,13.071006976941826,True
24,1,arb,normalizer,buy,0.08506029786918101,8.49264241092169,99.75791687241569,0.0,99.93786388257428,99.86664496739066,19.06245234534595,13.071006976941826,True
25,0,retail,submission,sell,0.0064556140994938005,0.6460463696183018,100.03476597428987,0.00026052395511333426,99.96726270710495,100.00369442570533,20.773776031499068,14.76940359032588,False
25,1,retail,submission,sell,0.008254263945374873,0.8263339913044643,100.03476597428987,0.0006206292388702961,99.96726270710495,100.00369442570533,20.773776031499068,14.76940359032588,False
26,0,arb,submission,sell,0.00576140022043603,0.5768365419116721,100.12666195291955,-3.323033540247877e-05,99.97878084486607,100.04120860181943,22.647827386553914,16.640336804382475,True
26,1,retail,submission,sell,0.051976749566392755,5.207940369097163,100.12666195291955,0.0036819358513984213,100.80471865350496,100.03900550664633,17.954250212194946,16.09362718627764,False
26,2,retail,submission,sell,0.33380140358201515,33.573741103772335,100.12666195291955,0.15132080790583302,100.80471865350496,100.03900550664633,17.954250212194946,16.09362718627764,False
26,3,retail,normalizer,sell,0.2766787315784711,27.844309139448683,100.12666195291955,0.0,100.80471865350496,100.03900550664633,17.954250212194946,16.09362718627764,False
26,4,retail,submission,sell,0.02478021545022102,2.5021187673683016,100.12666195291955,0.02095851186350739,100.80471865350496,100.03900550664633,17.954250212194946,16.09362718627764,False
26,5,retail,normalizer,sell,0.039773139555464354,4.01538745153309,100.12666195291955,0.0,100.80471865350496,100.03900550664633,17.954250212194946,16.09362718627764,False
27,0,arb,submission,buy,0.3139069218204684,31.487425832285226,99.99357893239292,-0.09874926780572224,100.17343282013964,100.07539188033486,18.297472715009803,13.09362718627764,True
27,1,arb,normalizer,buy,0.19917552177676734,19.955959704982888,99.99357893239292,0.0,100.17343282013964,100.07539188033486,18.297472715009803,13.09362718627764,True
28,0,retail,submission,sell,0.006993724117506872,0.7015529832773514,100.0667984022594,0.0017134019297717629,100.18745814498322,100.2155955486352,17.718779891777977,11.715410194185042,True
29,0,retail,submission,sell,0.04783420079554901,4.800306392736593,100.06716708468291,0.013673429366118484,100.2834646248514,100.33013388967748,19.877873101284816,13.87228991866848,True
30,0,arb,submission,buy,0.06161132632419371,6.162520896268688,99.9609806902627,-0.003792295274487323,100.1600776215403,100.18976997989489,21.905472753159746,15.901915891954001,True
30,1,arb,normalizer,buy,0.016329189883316286,1.6325479643619474,99.9609806902627,0.0,100.1600776215403,100.18976997989489,21.905472753159746,15.901915891954001,True
31,0,arb,normalizer,buy,0.0008037273490891998,0.08034072939699399,99.9593766071862,0.0,100.1600776215403,100.18976997989489,21.905472753159746,15.901915891954001,True
32,0,arb,submission,buy,0.002672271717268488,0.26706150515019544,99.93533851370407,-7.126484371788866e-06,100.15473218941158,100.18797502054865,23.235975370053595,17.23199305415899,False
32,1,arb,normalizer,buy,0.012046627291671169,1.204028556612684,99.93533851370407,0.0,100.15473218941158,100.18797502054865,23.235975370053595,17.23199305415899,False
32,2,retail,submission,sell,0.04819767675914477,4.837891592856168,99.93533851370407,0.021240450356947882,100.25142131271696,100.18751072963273,23.906745876733762,17.914398352120617,False
33,0,arb,submission,buy,0.12405356468946528,12.391459879981994,99.76435864217486,-0.015335561461940372,100.00343431126286,100.04734635256871,25.611459658370364,19.60619155100361,True
33,1,arb,normalizer,buy,0.08581169780558179,8.568281891601146,99.76435864217486,0.0,100.00343431126286,100.04734635256871,25.611459658370364,19.60619155100361,True
33,2,retail,submission,sell,0.014107978427233547,1.4138173246357069,99.76435864217486,0.00634390510511329,99.98117026613127,100.04616772629109,21.607221817167243,21.6054108899558,False
33,3,retail,submission,buy,0.025303551580052836,2.5242904736333003,99.76435864217486,0.00010212111986129813,99.98117026613127,100.04616772629109,21.607221817167243,21.6054108899558,False
33,4,retail,normalizer,buy,0.014684175942461231,1.464742885720625,99.76435864217486,0.0,99.98117026613127,100.04616772629109,21.607221817167243,21.6054108899558,False
34,0,arb,submission,buy,0.02449120514070867,2.442771563315546,99.71639940972189,-0.0005967694792063938,99.93232540188826,99.90620109098022,20.426543318179455,20.429680768564012,True
34,1,arb,normalizer,buy,0.009425320709174357,0.9399473789399053,99.71639940972189,0.0,99.93232540188826,99.90620109098022,20.426543318179455,20.429680768564012,True
34,2,retail,submission,sell,0.1398348754668035,14.022232541708512,99.71639940972189,0.07840224825201325,100.26543621821904,99.90661720997235,22.495301358022257,16.634111365033498,False
34,3,retail,normalizer,sell,0.04982381190482954,5.000687053973184,99.71639940972189,0.0,100.26543621821904,99.90661720997235,22.495301358022257,16.634111365033498,False
